state,url_crosstab_1,url_crosstab_2,url_crosstab_3,url_crosstab_4,url_crosstab_5,url_crosstab_6,url_crosstab_7,url_crosstab_8,url_crosstab_9,url_crosstab_10,url_crosstab_11,url_crosstab_12,url_crosstab_13,url_crosstab_14,url_crosstab_15,url_crosstab_16,url_crosstab_17,url_crosstab_18,url_crosstab_19,url_crosstab_20,url_crosstab_21,url_crosstab_22,url_crosstab_23,url_crosstab_24,url_crosstab_25,url_crosstab_26
Florida,https://docs.google.com/spreadsheets/d/1weOflq62_8NyRwZF3I3IFTtnQ1r9ioNJ/edit?gid=920459395#gid=920459395,https://docs.google.com/spreadsheets/d/1weOflq62_8NyRwZF3I3IFTtnQ1r9ioNJ/edit?gid=920459395#gid=920459395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
California,https://docs.google.com/spreadsheets/d/18YPFYiD3uv_ehRX03Jp2MtsJXQOkvjrg/edit?gid=1255775821#gid=1255775821,https://docs.google.com/spreadsheets/d/18YPFYiD3uv_ehRX03Jp2MtsJXQOkvjrg/edit?gid=1255775821#gid=1255775821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Georgia,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,https://docs.google.com/spreadsheets/d/1KdGpVQ0P7AVCDB5vsfoukqF6tS2ghVAo/edit?gid=1979448346#gid=1979448346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York,https://docs.google.com/spreadsheets/d/1tgXGdNdkmjGqx9Kj6C1Es50Hxbct4J7R/edit?gid=453932541#gid=453932541,https://docs.google.com/spreadsheets/d/1tgXGdNdkmjGqx9Kj6C1Es50Hxbct4J7R/edit?gid=453932541#gid=453932541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Virginia,https://docs.google.com/spreadsheets/d/1oA8tuH8qNgNdAnh-nJ8X6RrS2Mtx39T3/edit?gid=1796520530#gid=1796520530,https://docs.google.com/spreadsheets/d/1oA8tuH8qNgNdAnh-nJ8X6RrS2Mtx39T3/edit?gid=1796520530#gid=1796520530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Missouri,https://docs.google.com/spreadsheets/d/1_lzmZngMKiuwK7ISJFJY9N2XspUdpy8a/edit?gid=56094561#gid=56094561,https://docs.google.com/spreadsheets/d/1_lzmZngMKiuwK7ISJFJY9N2XspUdpy8a/edit?gid=56094561#gid=56094561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana,https://docs.google.com/spreadsheets/d/1DyXtvKL7EuVHKIh5v0v_c7oATHVrQXoe/edit?gid=2096770241#gid=2096770241,https://docs.google.com/spreadsheets/d/1DyXtvKL7EuVHKIh5v0v_c7oATHVrQXoe/edit?gid=2096770241#gid=2096770241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ohio,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,https://docs.google.com/spreadsheets/d/19sdRc0tEWp9eZRE19OV7Wgtm0CUj3mzN/edit?gid=755974594#gid=755974594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
